q1_0,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q1_9,q2,q3,q4,q5,q6,q7_0,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q7_9,q7_10,q7_11,q7_12,q7_13,q7_14,q8,q9,q10,q11_0,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q12,q13,q14,q15,q16,q17_0_0,q17_0_1,q17_0_2,q17_0_3,q17_0_4,q17_0_5,q17_0_6,q17_1_0,q17_1_1,q17_1_2,q17_1_3,q17_1_4,q17_1_5,q17_1_6,q17_2_0,q17_2_1,q17_2_2,q17_2_3,q17_2_4,q17_2_5,q17_2_6,q17_3_0,q17_3_1,q17_3_2,q17_3_3,q17_3_4,q17_3_5,q17_3_6,q17_4_0,q17_4_1,q17_4_2,q17_4_3,q17_4_4,q17_4_5,q17_4_6,q17_5_0,q17_5_1,q17_5_2,q17_5_3,q17_5_4,q17_5_5,q17_5_6,q17_6_0,q17_6_1,q17_6_2,q17_6_3,q17_6_4,q17_6_5,q17_6_6,q17_7_0,q17_7_1,q17_7_2,q17_7_3,q17_7_4,q17_7_5,q17_7_6,year,gender,age,income,cosize,tenure,weight
6,8,2,0,10,9,7,3,7,2,4,,,,,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,,,,,,,,,,,3,,,,,2,6,4,7,7,4,1,2,1,2,4,4,6,1,5,5,5,7,1,5,3,6,1,1,7,6,4,4,7,2,1,6,5,2,5,4,6,3,5,3,7,2,3,1,3,1,6,1,1,4,5,6,7,6,5,4,4,1,4,6,2,4,0.903773
10,4,7,9,10,6,1,3,6,4,5,,,,,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,9,11,,1,,3,,2,,,,3,,,,,5,4,6,3,2,1,3,2,3,2,7,1,2,1,6,3,1,5,7,2,5,6,7,7,7,5,1,2,3,2,7,1,2,3,7,6,6,4,1,2,7,5,6,3,6,2,2,7,5,3,7,7,2,6,2,5,4,1,3,5,2,3,0.515586
2,3,10,1,3,3,6,10,3,3,4,,,,,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,8,8,,,,,,,,,,3,,,,,2,7,6,5,4,3,4,7,2,2,2,5,5,3,1,7,1,2,1,6,5,6,2,4,5,1,4,6,7,5,4,3,7,5,7,2,4,3,7,7,6,7,1,2,5,3,6,3,4,5,4,6,3,4,2,6,4,2,3,1,5,4,1.276318
9,7,2,5,1,4,6,9,3,7,5,,,,,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,3,,,2,3,,,1,4,,,1,1,1,,,3,7,6,1,5,7,4,1,1,6,1,7,2,5,6,5,2,1,2,3,4,1,5,3,3,5,3,6,6,2,1,6,2,7,3,2,6,6,5,4,5,7,6,4,1,1,6,5,5,2,3,4,2,1,1,4,4,1,3,3,5,1,0.952806
8,6,2,8,10,4,2,8,7,0,6,,,,,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,5,,,3,,,,2,,,1,1,5,,,,5,2,4,3,6,5,2,2,2,4,1,6,3,2,6,4,6,6,2,3,4,6,5,6,6,1,5,1,7,4,6,2,7,5,3,7,1,4,4,2,7,4,4,4,7,6,5,4,6,4,4,6,6,7,2,5,4,1,4,7,4,1,0.543265
5,6,5,5,1,1,1,8,7,9,4,,,,,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,6,4,,,2,,,,1,,,1,6,,,,4,5,6,4,2,6,4,5,6,1,7,3,2,7,3,5,5,6,4,1,6,4,5,7,1,3,5,4,2,2,7,3,1,5,3,5,5,6,1,4,4,1,2,4,3,3,6,6,3,5,4,3,3,3,1,7,4,1,4,3,3,1,1.465062
5,6,4,9,6,2,5,7,1,3,5,,,,,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,9,4,,,,,,1,,,,1,7,,,,2,7,3,6,6,6,2,3,5,5,4,3,4,7,6,7,6,6,5,4,2,2,5,4,1,5,1,5,4,3,5,2,3,1,4,6,6,7,2,6,1,7,6,7,5,7,4,7,3,2,5,2,2,1,1,6,4,1,1,4,3,3,1.259098
10,8,3,5,6,6,2,8,3,10,6,,,,,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,3,,,,,,,,,,,2,6,,,,6,2,6,6,3,2,5,6,5,2,3,7,5,6,1,3,6,2,6,5,2,1,6,2,1,6,7,5,5,1,7,7,1,3,3,6,7,4,6,7,1,3,7,2,5,7,2,3,2,4,2,5,1,1,4,1,4,1,1,1,5,3,1.350793
3,9,7,6,10,9,2,8,4,9,5,,,,,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,9,2,1,,,,,,,,,1,1,1,,,3,7,7,6,1,3,3,5,6,5,3,2,2,2,1,2,3,6,6,5,7,6,7,5,7,3,1,1,3,5,3,6,5,5,6,5,3,7,2,4,3,6,6,7,5,1,2,7,1,4,4,1,5,7,3,1,4,2,1,6,5,3,0.604575
1,8,4,2,2,3,0,6,0,2,6,,,,,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,9,3,1,,,,1,,,,,4,,,,,3,5,6,1,4,5,7,5,5,2,4,7,5,1,3,5,5,5,4,7,5,6,2,2,3,6,4,7,5,4,1,4,4,7,3,3,6,7,2,5,5,3,6,3,5,3,7,6,6,2,3,1,3,5,7,2,4,2,3,7,4,3,1.042323
2,0,6,7,10,3,3,10,6,0,4,,,,,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,7,12,,,,,,,,,,1,2,1,,,5,2,2,6,3,3,4,7,4,3,3,4,2,7,4,3,6,4,6,2,3,4,6,3,1,4,7,5,5,2,4,2,3,3,2,5,3,5,2,5,5,2,1,1,2,7,4,5,5,6,1,5,2,1,1,1,4,1,2,4,6,3,0.74781
9,1,4,8,8,0,3,3,10,4,1,1,3,1,6,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,3,,,,1,,,,,,,3,,,,,7,3,4,5,7,2,7,3,3,3,6,6,1,4,4,6,6,6,2,1,4,3,2,1,1,5,1,4,7,1,2,1,4,1,2,6,1,6,6,4,5,4,2,4,4,4,1,5,5,5,2,4,3,3,3,3,4,1,2,1,4,3,0.612713
9,7,4,1,0,3,2,8,1,2,5,,,,,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,7,15,2,,,,,1,,,,1,5,,,,4,3,6,6,7,7,5,2,4,3,7,7,1,1,5,2,6,3,2,5,5,7,5,4,2,7,4,6,7,1,4,7,1,1,1,7,3,5,5,1,5,5,3,1,5,3,4,2,4,5,4,1,5,1,1,3,4,1,2,3,4,1,0.673794
8,1,4,1,7,2,6,3,3,8,1,5,,,,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,4,,,,,,,,,,,1,6,,,,1,6,5,7,7,2,1,1,3,4,7,4,6,7,7,1,1,4,4,1,3,3,5,6,6,3,4,3,1,2,1,4,2,1,7,3,3,3,3,1,4,6,6,5,7,1,4,5,1,5,5,5,3,2,5,4,4,1,2,4,1,3,1.096374
9,7,8,4,10,1,10,10,0,1,7,,,,,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,7,11,,,,,,,,,,3,,,,,1,7,7,5,4,6,4,2,1,2,7,6,3,1,7,1,5,7,7,3,6,2,7,2,2,1,1,6,6,1,6,2,7,3,6,3,7,4,5,1,5,1,7,7,5,1,7,3,6,3,3,3,5,4,2,1,4,2,3,5,1,3,1.313373
8,6,2,8,9,4,10,2,8,7,1,3,,,,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,8,14,2,1,,,2,,,,3,4,,,,,4,3,1,2,2,5,2,3,4,5,1,3,1,1,1,5,1,6,6,5,1,1,6,5,2,6,1,4,7,4,4,3,3,1,3,1,1,1,7,5,4,6,7,2,3,2,4,4,2,3,6,4,1,2,7,2,4,2,4,1,5,3,1.225267
0,1,0,3,4,3,6,7,9,2,7,,,,,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,5,,,,,,,,,,,2,7,,,,3,3,2,2,1,6,2,7,2,4,7,5,3,4,5,4,2,7,1,3,2,3,2,7,1,3,6,1,4,2,2,5,7,4,6,6,3,5,5,5,7,3,6,5,3,4,2,1,1,5,1,7,3,4,1,5,4,1,2,4,3,4,0.509978
7,2,5,9,0,2,2,9,6,8,2,5,,,,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,3,,,,,,,,,,,4,,,,,1,3,1,6,4,1,4,6,1,4,5,6,3,4,7,2,7,1,5,7,6,5,4,4,2,4,3,5,1,7,4,4,4,5,6,3,1,1,2,4,6,7,6,1,1,7,3,7,2,3,6,3,6,4,1,6,4,2,3,7,5,1,0.876243
8,7,9,8,0,10,9,10,1,10,6,,,,,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,9,12,,,,,,,,,,2,6,,,,5,7,7,3,3,1,1,4,6,4,7,3,4,4,1,7,6,2,1,5,2,7,6,7,3,6,7,6,4,7,2,2,5,3,4,4,1,2,4,7,1,5,5,7,7,7,7,6,5,1,1,6,6,5,3,4,4,2,2,5,4,3,0.746264
9,8,10,6,2,5,8,3,10,7,2,3,,,,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,4,,,,,,,,1,,,2,6,,,,3,4,2,3,6,7,7,4,2,4,4,7,2,5,4,3,2,5,1,2,3,6,6,6,2,6,4,2,3,4,3,4,6,4,2,2,4,7,4,5,1,4,2,5,7,5,2,6,3,1,1,2,1,6,3,5,4,1,2,5,1,2,1.117822
5,0,2,5,7,9,10,9,2,8,5,,,,,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,9,10,,3,,4,,,1,,2,4,,,,,7,6,2,2,2,6,3,1,2,2,2,3,4,7,4,1,3,5,6,7,6,2,4,6,7,1,7,3,7,2,3,2,7,7,4,2,2,6,4,5,3,1,5,5,6,6,3,5,7,7,6,5,2,7,2,3,4,2,5,2,3,1,0.559932
1,1,8,10,4,2,9,2,1,1,2,1,2,1,3,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,,,1,,,3,2,4,,,2,6,,,,5,1,1,5,5,4,2,7,2,7,6,1,4,5,3,1,3,4,5,4,6,2,6,4,6,7,4,5,4,7,1,3,1,4,7,4,6,7,6,4,2,1,4,3,7,6,4,1,6,7,2,6,7,7,3,7,4,1,4,4,5,1,1.463539
2,10,1,3,6,7,7,6,0,9,2,5,,,,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,,,,,,,,1,2,,1,7,,,,6,4,7,7,1,1,1,2,5,5,2,5,6,5,6,1,7,5,2,7,5,2,3,4,3,4,1,4,1,3,5,6,5,4,2,6,7,1,1,6,1,4,5,6,6,5,7,4,2,4,7,2,4,3,2,6,4,2,2,4,3,3,0.882103
7,7,6,2,4,7,1,4,9,8,5,,,,,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,4,,,,,,,,,,,3,,,,,2,2,1,4,5,4,5,1,3,7,5,6,7,4,1,3,2,4,5,6,7,1,4,4,4,4,2,2,3,3,1,4,5,1,1,7,5,4,6,1,4,7,2,4,3,4,2,2,1,7,6,3,5,2,1,7,4,1,1,5,3,2,1.333407
0,6,6,1,0,4,8,7,2,0,3,2,1,,,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,8,10,,,,1,3,2,,,4,4,,,,,6,4,4,5,3,6,3,6,1,3,2,3,6,5,5,2,7,1,7,7,4,6,1,6,3,1,4,3,5,2,2,5,5,1,1,3,3,5,4,3,4,2,5,1,3,7,7,3,6,1,4,1,3,6,2,3,4,2,4,4,2,1,1.113314
8,4,9,6,10,8,6,2,5,7,3,1,3,1,8,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,4,,,,,,,,,,,1,6,,,,3,3,7,7,1,2,6,5,3,3,4,5,2,4,6,1,6,6,1,3,5,1,7,3,3,3,2,1,5,3,3,7,4,4,6,2,3,1,4,2,5,1,6,4,1,4,2,3,6,3,5,7,1,4,1,3,4,2,1,5,6,2,1.205509
8,3,6,2,9,6,1,7,7,10,7,,,,,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,5,,,,,,,,,,,4,,,,,5,5,5,5,5,3,7,3,3,2,5,1,4,7,5,4,5,7,1,5,7,7,7,6,6,5,5,5,3,5,3,2,3,4,1,7,4,2,2,4,2,2,6,3,6,5,6,3,2,4,1,4,3,7,3,3,4,1,4,4,5,3,0.704767
0,2,4,2,5,9,5,8,0,10,5,,,,,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,4,,,1,,,,,3,,2,3,,,,,5,4,4,4,2,1,5,2,5,3,7,2,5,4,4,2,6,3,7,5,1,4,7,4,7,4,7,7,4,2,5,5,2,5,2,1,4,5,1,5,3,4,2,5,6,4,3,7,3,2,5,5,2,1,1,7,4,1,5,3,1,2,1.270065
9,5,1,4,3,3,9,3,4,9,3,4,,,,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,3,,,,,,1,,,,,2,3,3,1,10,1,6,5,6,4,4,2,3,7,1,1,6,3,4,6,3,7,4,1,6,5,6,2,1,1,5,4,7,4,7,7,3,5,2,5,7,6,5,4,7,3,7,5,6,1,5,1,2,5,1,3,2,7,2,4,7,4,2,3,2,4,2,0.830466
4,6,9,1,8,6,8,9,10,8,4,,,,,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,3,,,,,,,,,,,1,5,,,,7,7,2,1,7,6,1,4,3,7,6,4,6,1,2,5,6,5,4,5,7,6,5,7,6,2,2,1,3,5,6,2,4,4,6,3,3,6,6,6,5,7,6,2,2,5,1,7,5,7,3,4,5,6,2,5,4,1,2,1,4,2,0.661954
1,8,6,3,1,5,8,8,10,5,4,,,,,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,10,1,2,,4,,1,2,,,3,3,,,,,2,3,1,2,5,6,1,3,4,6,1,6,6,6,2,1,1,4,7,6,7,7,6,3,1,4,4,5,7,1,2,1,4,5,6,6,6,1,5,6,2,7,5,1,3,3,5,3,3,6,2,7,2,5,5,2,4,2,1,7,4,4,0.907076
3,2,2,9,8,6,5,9,4,4,4,,,,,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,3,,,1,2,4,5,,3,,,1,7,,,,1,1,3,7,1,7,4,7,1,4,6,7,3,5,1,1,2,6,1,5,5,7,4,5,2,1,6,3,6,3,2,7,3,2,1,3,5,1,4,3,3,2,5,6,5,7,4,5,5,3,4,2,1,1,7,2,4,1,4,7,5,4,0.799566
8,1,10,6,1,4,8,1,6,5,2,3,,,,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,10,15,1,3,,4,,1,,,2,2,4,,,,7,1,3,1,2,7,4,6,1,2,5,1,2,6,1,7,5,1,3,5,2,4,2,6,4,3,4,1,3,1,3,7,7,5,2,6,1,1,7,6,1,5,4,2,7,4,2,2,5,1,2,3,2,7,4,4,4,2,3,4,6,4,1.183199
10,6,1,0,4,6,5,2,1,0,1,3,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6,6,,,,,,,,,,2,1,3,1,2,5,1,1,3,4,4,4,7,7,6,7,5,5,5,1,2,7,6,6,4,2,4,1,2,3,6,4,1,6,6,6,1,2,5,3,5,5,5,3,2,3,5,4,7,6,3,3,2,5,1,4,6,7,3,7,1,4,2,4,3,6,4,1.445827
1,7,3,2,7,4,1,4,10,4,3,5,,,,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,5,,,,,,,,,,,2,5,,,,2,5,7,5,6,5,3,7,1,6,6,3,4,1,2,4,7,4,1,5,2,4,3,1,1,5,1,5,4,1,6,5,2,6,7,2,3,5,4,1,4,2,6,3,7,3,5,3,5,5,3,4,5,4,5,6,4,2,5,1,2,4,0.935592
2,5,4,2,1,6,1,1,3,9,1,5,,,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,3,2,1,,2,3,,,,4,4,,,,,1,2,1,1,7,4,2,2,6,1,7,5,2,4,7,1,5,3,2,6,2,1,4,7,5,2,3,6,6,4,4,4,4,7,4,6,4,5,5,7,3,6,2,1,7,5,3,7,4,4,6,2,3,1,7,7,4,1,4,3,2,2,1.459569
10,7,8,8,3,0,1,0,2,7,2,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,4,,,,,,,,,,,4,,,,,7,3,4,7,7,7,6,4,3,6,1,2,7,3,5,7,2,7,3,5,7,6,5,7,5,5,7,7,1,2,7,7,2,2,3,2,6,4,5,5,4,7,2,7,2,6,2,5,2,4,4,7,4,3,5,5,4,1,4,4,6,1,1.425559
2,2,2,4,3,3,5,7,8,8,6,,,,,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,9,1,2,,,,5,3,1,4,2,2,4,,,,7,4,7,2,3,5,3,7,5,6,1,1,5,7,1,5,3,5,3,1,4,6,1,4,3,3,2,1,3,7,7,6,6,4,1,2,5,3,6,5,7,7,7,7,6,1,1,3,2,6,1,4,4,7,2,4,4,2,2,4,5,1,0.701745
5,8,6,3,5,5,10,6,6,4,2,1,1,,,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,10,15,1,5,1,,4,,,2,3,4,,,,,4,7,7,4,1,1,4,3,5,3,1,3,5,2,6,5,2,7,4,4,7,6,1,7,2,3,7,1,7,6,3,6,7,2,7,4,1,5,6,3,2,3,1,6,3,6,2,5,7,1,3,4,2,5,1,3,4,2,3,7,3,1,0.519247
8,1,8,2,10,9,4,6,7,2,1,4,,,,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,6,2,1,,,1,,,4,3,2,4,,,,,6,2,2,1,6,3,2,6,3,3,3,6,7,1,7,7,4,6,2,5,6,1,2,7,3,2,6,6,6,5,4,7,3,5,7,5,2,4,7,5,2,4,6,7,6,4,2,5,5,3,1,2,2,6,7,3,4,1,2,6,5,2,0.707327
7,8,2,4,5,10,10,8,6,1,3,2,1,,,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,8,13,2,,,,,,,,,2,3,1,,,5,6,3,6,5,5,7,2,3,2,3,5,2,2,3,7,1,2,1,2,4,3,2,5,7,6,5,3,7,4,3,4,4,3,3,7,1,1,6,5,4,2,4,2,6,5,4,3,2,3,2,4,3,3,5,6,4,2,5,6,3,2,0.608588
4,3,6,1,8,1,4,8,6,1,2,1,3,1,5,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,9,6,,,,,,,,,,1,3,3,1,4,4,7,1,3,3,5,1,7,3,3,1,2,3,6,5,1,3,6,7,7,7,4,6,1,1,4,6,4,4,4,2,1,6,4,1,3,3,5,5,4,7,4,6,1,3,4,5,7,5,1,5,2,4,6,1,4,4,2,4,5,1,4,1.45478
3,5,3,2,10,1,10,10,10,4,2,1,2,1,6,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,9,13,2,,,,,,,,,2,5,,,,5,4,6,3,2,3,4,2,7,7,7,5,5,3,2,6,2,6,1,1,6,2,4,3,2,7,1,2,3,5,2,4,1,6,6,7,1,3,5,4,1,4,6,6,4,7,2,7,6,1,6,7,6,6,4,6,4,2,1,3,6,2,0.616143
4,5,9,2,7,8,2,5,9,3,5,,,,,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,,,,,,,,,,1,1,1,2,2,,6,1,6,6,4,1,6,3,3,4,4,7,1,4,6,1,4,1,5,3,7,7,3,3,4,1,5,3,5,4,5,2,2,6,4,4,7,1,5,2,6,7,4,6,3,3,4,4,5,1,7,1,1,4,4,3,4,2,3,5,5,4,1.246487
9,10,10,1,2,3,8,7,4,4,1,3,,,,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,10,7,,3,,,,1,,,2,2,3,2,2,,5,5,7,3,7,1,2,5,1,7,2,2,7,7,5,6,5,6,6,5,6,2,3,1,5,6,5,1,4,5,7,4,1,5,1,4,4,3,2,2,4,1,2,6,1,7,5,4,6,7,5,2,7,2,1,2,4,1,1,2,6,4,1.142957
6,9,6,8,4,5,10,7,5,1,1,5,,,,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,8,6,,,,,,,,,,3,,,,,7,4,7,5,5,1,2,4,3,7,2,7,5,1,6,6,6,6,2,4,4,6,4,6,2,7,5,1,7,3,5,3,6,4,2,5,5,3,7,1,4,1,7,4,5,4,7,2,5,4,3,5,3,1,5,7,4,1,3,3,2,3,0.551422
10,5,0,8,8,5,7,10,1,1,2,2,1,,,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,2,,,,,2,,,,1,,2,6,,,,4,2,4,2,2,4,4,1,4,1,3,6,4,3,2,3,6,5,3,6,4,1,1,6,7,2,2,6,6,1,4,3,6,6,5,6,4,7,4,3,4,7,7,3,1,3,3,7,2,4,2,2,3,7,3,5,4,1,3,2,6,4,1.025646
7,4,4,5,4,6,4,9,9,8,2,2,1,,,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,6,7,,,,,,,,,,1,5,,,,7,3,4,7,5,1,3,6,7,7,7,2,6,6,4,4,2,4,3,2,7,7,1,5,4,5,2,1,7,2,4,2,5,2,5,6,7,3,2,7,3,2,7,4,5,4,4,3,4,2,1,1,2,1,1,4,4,2,4,7,5,4,1.436831
8,6,9,5,2,1,8,10,9,8,6,,,,,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,7,13,2,,,,,,,,,1,6,,,,7,1,7,5,1,6,6,4,2,2,2,7,7,2,5,7,1,6,2,6,6,4,2,6,4,6,5,1,7,3,1,4,1,3,7,3,3,4,6,5,6,1,4,7,4,2,2,3,3,1,1,5,5,7,7,6,4,2,5,7,1,2,0.940075
4,6,3,0,4,4,9,6,8,9,2,4,,,,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,3,,,,,,,,,,,3,,,,,6,6,3,4,4,2,3,5,1,4,2,5,5,2,5,3,4,1,5,4,4,3,3,7,3,4,3,4,7,4,2,7,6,2,5,3,4,4,1,4,5,2,3,6,2,5,7,7,1,1,6,4,5,4,1,1,4,2,2,6,1,2,0.588117
7,1,2,6,3,5,1,4,6,3,7,,,,,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,4,,,,,,,,,1,2,3,,,,,1,6,1,6,3,5,6,6,7,6,4,5,1,7,2,5,4,7,4,5,2,6,3,5,4,7,6,4,2,5,2,1,6,6,5,7,7,5,6,2,5,1,1,4,5,4,4,5,1,4,3,6,7,3,5,5,4,2,2,1,5,2,0.991192
8,1,1,1,3,10,6,9,0,0,2,5,,,,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,10,4,,,,,,,,,,1,1,2,1,0,4,2,3,7,1,4,2,4,1,2,2,1,1,3,4,5,2,7,4,3,3,7,4,3,4,7,1,3,1,5,4,5,3,2,2,4,5,4,1,1,3,1,6,4,4,5,7,2,7,6,6,4,5,2,6,4,4,1,4,6,4,2,0.740689
2,10,8,10,0,2,2,8,7,5,4,,,,,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,7,13,2,1,,3,,2,,,4,1,3,3,1,9,5,1,7,6,4,5,5,7,2,4,1,4,1,7,7,4,1,1,7,7,3,3,3,6,1,7,3,1,2,6,1,2,1,6,5,1,3,5,7,4,2,1,1,3,2,3,5,2,5,1,4,7,5,6,2,5,4,2,4,1,1,2,0.766626
5,6,4,0,2,8,3,3,8,6,3,2,1,,,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,10,13,1,3,,1,2,,,,,2,6,,,,3,7,1,7,5,5,3,2,3,3,1,3,2,7,7,2,7,5,2,7,6,7,3,5,4,5,4,3,1,5,1,5,4,5,6,5,3,5,3,4,7,1,6,6,3,4,7,4,7,4,6,5,3,3,7,5,4,2,5,2,5,1,1.351206
10,9,4,1,3,7,0,4,5,10,7,,,,,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,7,6,,,,,,,,,,4,,,,,3,4,5,5,7,7,7,5,1,4,2,3,7,1,1,4,3,2,6,3,5,3,4,4,2,4,2,7,4,2,1,5,1,5,4,2,6,1,4,5,4,7,5,5,2,3,1,7,6,1,2,4,2,1,3,3,4,1,1,6,1,2,0.512397
2,10,10,10,9,4,7,0,6,1,7,,,,,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,3,,,,,,,,,1,,2,7,,,,7,3,5,3,7,7,2,1,4,6,3,6,7,7,6,2,6,2,6,6,5,3,1,7,1,1,7,7,3,6,1,2,6,4,3,6,7,7,3,2,3,2,2,4,6,2,7,3,1,2,4,3,6,2,2,3,4,2,4,1,6,4,0.704504
7,10,9,0,7,2,2,6,5,10,2,4,,,,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,9,2,1,,,,,,,,,3,,,,,2,2,2,7,5,3,5,3,5,7,5,4,2,5,4,5,2,6,6,3,5,1,7,6,1,6,1,5,3,1,2,5,3,1,4,2,2,6,7,7,1,5,5,7,2,1,3,3,6,6,5,5,2,5,2,6,4,1,2,2,4,4,0.626817
2,10,9,9,7,3,6,8,5,7,1,3,,,,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,,,,,,,,,,,2,3,3,1,5,5,7,6,2,7,6,2,6,2,4,2,2,1,3,6,6,6,4,1,7,5,1,5,3,5,6,5,2,5,5,6,3,5,7,7,6,6,2,1,6,4,1,5,5,7,3,4,7,6,4,2,7,2,4,4,2,4,1,1,1,3,4,0.568793
7,4,6,1,8,5,9,6,9,8,1,5,,,,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,9,10,,,,4,1,,,2,3,4,,,,,1,5,6,5,6,5,6,4,6,2,7,5,1,2,2,4,2,4,6,4,5,3,7,6,2,5,3,2,4,1,2,6,2,3,4,5,7,5,7,3,5,7,5,4,4,4,7,6,3,6,6,1,7,7,3,1,4,2,1,1,6,3,0.850487
5,2,4,0,4,7,7,10,10,10,6,,,,,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,5,,,,1,2,,,4,,3,3,,,,,5,3,4,6,1,7,4,6,4,4,4,2,7,1,7,1,4,2,1,5,5,4,4,4,4,3,7,5,5,3,2,3,4,6,3,3,4,2,2,4,5,7,5,2,5,1,4,6,5,5,4,4,7,7,3,4,4,1,1,1,6,4,0.715934
10,9,0,0,9,2,6,6,0,7,2,3,,,,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,2,,,,,,,,,,,3,,,,,2,2,7,2,5,7,6,1,2,4,6,6,5,5,3,3,5,5,6,2,3,3,7,2,3,4,3,6,5,4,5,3,1,4,3,7,6,7,2,6,7,5,2,3,6,7,7,5,6,7,7,5,2,7,1,2,4,2,3,5,4,1,1.114072
3,2,10,6,5,6,3,2,0,7,3,5,,,,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,6,8,,,,,,,,,,4,,,,,1,3,1,4,4,2,1,3,4,3,2,5,2,2,1,5,3,7,5,7,7,7,4,2,2,3,4,3,2,7,3,2,5,4,2,1,3,3,7,3,2,2,6,7,7,7,1,7,1,1,2,1,4,1,3,3,4,2,5,5,2,1,0.59989
4,3,9,10,5,5,8,7,10,0,2,3,,,,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,9,6,,,,,,,,,,4,,,,,3,5,3,1,5,1,7,6,4,7,3,2,6,6,5,5,7,6,1,7,2,3,1,7,1,4,6,3,4,7,4,7,7,2,2,7,4,3,2,2,3,4,4,7,4,2,4,4,2,3,6,5,4,3,6,3,4,1,2,2,5,2,0.877858
10,1,8,2,0,2,0,3,9,4,1,5,,,,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,4,,,,,,,,1,,,1,4,,,,1,1,5,1,7,1,5,4,1,2,6,1,6,5,5,5,1,4,6,2,1,6,1,6,4,7,7,6,6,5,2,6,7,5,4,1,5,2,2,5,6,2,2,5,4,6,4,6,4,1,5,2,5,3,5,2,4,1,3,1,1,1,0.614271
